ISO3,Country,One_Person_HH_Perc,GDP_Per_Capita
IND,India,5.700833333333333,7765.593
VNM,Viet Nam,5.668333333333333,8050.359
IDN,Indonesia,5.66,12801.671
TUN,Tunisia,5.65,10913.846
EGY,"Egypt, Arab Republic of",5.622727272727273,13205.406
TLS,,5.613333333333333,
BFA,Burkina Faso,5.458,1704.966
SEN,Senegal,5.304,2660.6816
MDV,,5.223333333333334,
BDI,Burundi,5.21,717.22845
GIN,Guinea,5.1,1809.2666
MLI,Mali,4.997777777777777,1651.9413
PHL,Philippines,4.935384615384615,8370.666
SLE,Sierra Leone,4.845555555555555,1690.4982
JOR,Jordan,4.81375,9151.479
TKM,Turkmenistan,4.739999999999999,17234.555
NPL,Nepal,4.549090909090909,3013.5178
UZB,Uzbekistan,4.4366666666666665,12559.401
GTM,Guatemala,4.42,7969.431
WSM,,4.29,
FJI,,4.28,
NIC,Nicaragua,4.08,5092.8413
SSD,,4.07,
MRT,Mauritania,3.9533333333333336,3680.3662
PSE,West Bank and Gaza,3.945555555555556,4775.202
PAK,Pakistan,3.882,5531.723
MMR,Myanmar,3.88,5177.4326
NER,Niger,3.836,1007.72095
KIR,,3.71,
VUT,,3.01,
KHM,Cambodia,2.82125,3944.2468
DJI,Djibouti,2.72,3623.0603
TJK,Tajikistan,2.555,5507.5454
SDN,,2.49,
COM,Comoros,2.45,1900.3983
SYR,Syrian Arab Republic,2.38,2494.7612
YEM,"Yemen, Republic of",2.3633333333333333,1959.3195
BGD,Bangladesh,2.268666666666667,4925.721
GNB,Guinea-Bissau,1.9725,1625.3876
LAO,Lao PDR,1.711666666666667,7168.1904
PRK,"Korea, Democratic People’s Republic of",1.68,1568.847
SOM,,1.18,
IRQ,Iraq,1.178,13071.94
DZA,Algeria,1.0750000000000002,13506.444
AFG,Afghanistan,0.1699999999999999,1357.9878
