ISO3,Year,Urban_Population_Percent
ABW,1989,0.909
ABW,1989,9.516
ABW,1989,0.0
ABW,1989,58.466
ABW,1989,22.753
ABW,1989,8.356
ABW,1989,100.0
ABW,1990,0.874
ABW,1990,9.506
ABW,1990,0.0
ABW,1990,57.303
ABW,1990,24.186
ABW,1990,8.131
ABW,1990,100.0
ABW,1991,0.828
ABW,1991,8.988
ABW,1991,0.0
ABW,1991,59.886
ABW,1991,18.683
ABW,1991,11.614
ABW,1991,100.0
ABW,1992,0.785
ABW,1992,8.505
ABW,1992,0.0
ABW,1992,62.297
ABW,1992,13.546
ABW,1992,14.866
ABW,1992,100.0
ABW,1993,0.746
ABW,1993,8.053
ABW,1993,0.0
ABW,1993,64.553
ABW,1993,8.74
ABW,1993,17.908
ABW,1993,100.0
ABW,1994,0.708
ABW,1994,7.63
ABW,1994,0.0
ABW,1994,66.668
ABW,1994,4.234
ABW,1994,20.76
ABW,1994,100.0
ABW,1995,0.673
ABW,1995,7.231
ABW,1995,0.0
ABW,1995,68.656
ABW,1995,23.44
ABW,1995,100.0
ABW,1996,0.618
ABW,1996,6.954
ABW,1996,0.0
ABW,1996,65.276
ABW,1996,1.566
ABW,1996,25.586
ABW,1996,100.0
ABW,1997,0.567
ABW,1997,6.693
ABW,1997,0.0
ABW,1997,62.111
ABW,1997,3.033
ABW,1997,27.596
ABW,1997,100.0
ABW,1998,0.519
ABW,1998,6.449
ABW,1998,0.0
ABW,1998,59.14
ABW,1998,4.409
ABW,1998,29.483
ABW,1998,100.0
ABW,1999,0.474
ABW,1999,6.219
ABW,1999,0.0
ABW,1999,56.346
ABW,1999,5.704
ABW,1999,31.257
ABW,1999,100.0
ABW,2000,0.431
ABW,2000,6.003
ABW,2000,0.0
ABW,2000,53.714
ABW,2000,6.923
ABW,2000,32.929
ABW,2000,100.0
ABW,2001,0.42
ABW,2001,5.963
ABW,2001,0.0
ABW,2001,54.008
ABW,2001,6.713
ABW,2001,32.896
ABW,2001,100.0
ABW,2002,0.409
ABW,2002,5.925
ABW,2002,0.0
ABW,2002,54.295
ABW,2002,6.508
ABW,2002,32.863
ABW,2002,100.0
ABW,2003,0.398
ABW,2003,5.888
ABW,2003,0.0
ABW,2003,54.575
ABW,2003,6.307
ABW,2003,32.832
ABW,2003,100.0
ABW,2004,0.387
ABW,2004,5.851
ABW,2004,0.0
ABW,2004,54.849
ABW,2004,6.112
ABW,2004,32.801
ABW,2004,100.0
ABW,2005,0.377
ABW,2005,5.816
ABW,2005,0.0
ABW,2005,55.116
ABW,2005,5.921
ABW,2005,32.771
ABW,2005,100.0
ABW,2006,0.382
ABW,2006,5.723
ABW,2006,0.0
ABW,2006,54.83
ABW,2006,5.246
ABW,2006,33.819
ABW,2006,100.0
ABW,2007,0.386
ABW,2007,5.633
ABW,2007,0.0
ABW,2007,54.551
ABW,2007,4.589
ABW,2007,34.841
ABW,2007,100.0
ABW,2008,0.391
ABW,2008,5.545
ABW,2008,0.0
ABW,2008,54.279
ABW,2008,3.947
ABW,2008,35.839
ABW,2008,100.0
ABW,2009,0.395
ABW,2009,5.459
ABW,2009,0.0
ABW,2009,54.013
ABW,2009,3.32
ABW,2009,36.813
ABW,2009,100.0
ABW,2010,0.4
ABW,2010,5.375
ABW,2010,0.0
ABW,2010,53.753
ABW,2010,2.708
ABW,2010,37.764
ABW,2010,100.0
ABW,2011,0.401
ABW,2011,5.156
ABW,2011,0.0
ABW,2011,53.909
ABW,2011,2.709
ABW,2011,37.825
ABW,2011,100.0
ABW,2012,0.403
ABW,2012,4.94
ABW,2012,0.0
ABW,2012,54.062
ABW,2012,2.709
ABW,2012,37.885
ABW,2012,100.0
ABW,2013,0.405
ABW,2013,4.728
ABW,2013,0.0
ABW,2013,54.213
ABW,2013,2.71
ABW,2013,37.944
ABW,2013,100.0
ABW,2014,0.407
ABW,2014,4.519
ABW,2014,0.0
ABW,2014,54.361
ABW,2014,2.711
ABW,2014,38.002
ABW,2014,100.0
ABW,2015,0.409
ABW,2015,4.314
ABW,2015,0.0
ABW,2015,54.507
ABW,2015,2.712
ABW,2015,38.059
ABW,2015,100.0
ABW,2016,0.395
ABW,2016,4.32
ABW,2016,0.0
ABW,2016,54.597
ABW,2016,2.664
ABW,2016,38.024
ABW,2016,100.0
ABW,2017,0.381
ABW,2017,4.326
ABW,2017,0.0
ABW,2017,54.686
ABW,2017,2.618
ABW,2017,37.989
ABW,2017,100.0
ABW,2018,0.367
ABW,2018,4.332
ABW,2018,0.0
ABW,2018,54.774
ABW,2018,2.572
ABW,2018,37.955
ABW,2018,100.0
ABW,2019,0.353
ABW,2019,4.338
ABW,2019,0.0
ABW,2019,54.861
ABW,2019,2.526
ABW,2019,37.922
ABW,2019,100.0
ABW,2020,0.34
ABW,2020,4.344
ABW,2020,0.0
ABW,2020,54.947
ABW,2020,2.481
ABW,2020,37.888
ABW,2020,100.0
ABW,2021,0.341
ABW,2021,4.297
ABW,2021,0.0
ABW,2021,55.01
ABW,2021,2.481
ABW,2021,37.872
ABW,2021,100.0
ABW,2022,0.342
ABW,2022,4.25
ABW,2022,0.0
ABW,2022,55.072
ABW,2022,2.48
ABW,2022,37.855
ABW,2022,100.0
ABW,2023,0.342
ABW,2023,4.204
ABW,2023,0.0
ABW,2023,55.135
ABW,2023,2.48
ABW,2023,37.839
ABW,2023,100.0
ABW,2024,0.343
ABW,2024,4.158
ABW,2024,0.0
ABW,2024,55.197
ABW,2024,2.479
ABW,2024,37.822
ABW,2024,100.0
ABW,2025,0.344
ABW,2025,4.112
ABW,2025,0.0
ABW,2025,55.259
ABW,2025,2.479
ABW,2025,37.806
ABW,2025,100.0
ABW,2026,0.345
ABW,2026,4.12
ABW,2026,0.0
ABW,2026,55.267
ABW,2026,2.478
ABW,2026,37.789
ABW,2026,100.0
ABW,2027,0.346
ABW,2027,4.129
ABW,2027,0.0
ABW,2027,55.274
ABW,2027,2.478
ABW,2027,37.773
ABW,2027,100.0
ABW,2028,0.347
ABW,2028,4.138
ABW,2028,0.0
ABW,2028,55.281
ABW,2028,2.477
ABW,2028,37.757
ABW,2028,100.0
ABW,2029,0.348
ABW,2029,4.147
ABW,2029,0.0
ABW,2029,55.289
ABW,2029,2.477
ABW,2029,37.74
ABW,2029,100.0
ABW,2030,0.349
ABW,2030,4.155
ABW,2030,0.0
ABW,2030,55.296
ABW,2030,2.476
ABW,2030,37.724
ABW,2030,100.0
ABW,2031,0.342
ABW,2031,4.223
ABW,2031,0.0
ABW,2031,55.242
ABW,2031,2.476
ABW,2031,37.717
ABW,2031,100.0
ABW,2032,0.336
ABW,2032,4.29
ABW,2032,0.0
ABW,2032,55.188
ABW,2032,2.475
ABW,2032,37.71
ABW,2032,100.0
ABW,2033,0.33
ABW,2033,4.358
ABW,2033,0.0
ABW,2033,55.134
ABW,2033,2.475
ABW,2033,37.703
ABW,2033,100.0
ABW,2034,0.324
ABW,2034,4.427
ABW,2034,0.0
ABW,2034,55.08
ABW,2034,2.474
ABW,2034,37.696
ABW,2034,100.0
ABW,2035,0.318
ABW,2035,4.495
ABW,2035,0.0
ABW,2035,55.025
ABW,2035,2.473
ABW,2035,37.689
ABW,2035,100.0
ABW,2036,0.317
ABW,2036,4.558
ABW,2036,0.0
ABW,2036,55.805
ABW,2036,2.473
ABW,2036,36.847
ABW,2036,100.0
ABW,2037,0.317
ABW,2037,4.621
ABW,2037,0.0
ABW,2037,56.591
ABW,2037,2.472
ABW,2037,35.999
ABW,2037,100.0
ABW,2038,0.316
ABW,2038,4.684
ABW,2038,0.0
ABW,2038,57.382
ABW,2038,2.471
ABW,2038,35.146
ABW,2038,100.0
ABW,2039,0.315
ABW,2039,4.748
ABW,2039,0.0
ABW,2039,58.179
ABW,2039,2.471
ABW,2039,34.287
ABW,2039,100.0
ABW,2040,0.315
ABW,2040,4.812
ABW,2040,0.0
ABW,2040,58.981
ABW,2040,2.47
ABW,2040,33.422
ABW,2040,100.0
ABW,2041,0.314
ABW,2041,4.86
ABW,2041,0.0
ABW,2041,56.713
ABW,2041,5.69
ABW,2041,32.423
ABW,2041,100.0
ABW,2042,0.313
ABW,2042,4.908
ABW,2042,0.0
ABW,2042,54.427
ABW,2042,8.937
ABW,2042,31.416
ABW,2042,100.0
ABW,2043,0.312
ABW,2043,4.956
ABW,2043,0.0
ABW,2043,52.12
ABW,2043,12.212
ABW,2043,30.4
ABW,2043,100.0
ABW,2044,0.31
ABW,2044,5.005
ABW,2044,0.0
ABW,2044,49.795
ABW,2044,15.514
ABW,2044,29.376
ABW,2044,100.0
ABW,2045,0.309
ABW,2045,5.054
ABW,2045,0.0
ABW,2045,47.449
ABW,2045,18.844
ABW,2045,28.343
ABW,2045,100.0
ABW,2046,0.325
ABW,2046,5.043
ABW,2046,0.0
ABW,2046,47.454
ABW,2046,18.84
ABW,2046,28.338
ABW,2046,100.0
ABW,2047,0.342
ABW,2047,5.031
ABW,2047,0.0
ABW,2047,47.458
ABW,2047,18.835
ABW,2047,28.334
ABW,2047,100.0
ABW,2048,0.358
ABW,2048,5.019
ABW,2048,0.0
ABW,2048,47.462
ABW,2048,18.831
ABW,2048,28.33
ABW,2048,100.0
ABW,2049,0.374
ABW,2049,5.007
ABW,2049,0.0
ABW,2049,47.467
ABW,2049,18.826
ABW,2049,28.326
ABW,2049,100.0
ABW,2050,0.391
ABW,2050,4.995
ABW,2050,0.0
ABW,2050,47.471
ABW,2050,18.822
ABW,2050,28.321
ABW,2050,100.0
AFG,1950,5.224
AFG,1950,23.504
AFG,1950,20.758
AFG,1950,11.142
AFG,1950,3.635
AFG,1950,24.116
AFG,1950,11.622
AFG,1950,100.0
AFG,1951,5.137
AFG,1951,23.318
AFG,1951,20.672
AFG,1951,11.277
AFG,1951,3.675
AFG,1951,23.872
AFG,1951,12.049
AFG,1951,100.0
AFG,1952,5.052
AFG,1952,23.138
AFG,1952,20.588
AFG,1952,11.407
AFG,1952,3.714
AFG,1952,23.636
AFG,1952,12.464
AFG,1952,100.0
AFG,1953,4.969
AFG,1953,22.963
AFG,1953,20.507
AFG,1953,11.535
AFG,1953,3.752
AFG,1953,23.406
AFG,1953,12.868
AFG,1953,100.0
AFG,1954,4.888
AFG,1954,22.793
AFG,1954,20.427
AFG,1954,11.658
AFG,1954,3.789
AFG,1954,23.182
AFG,1954,13.261
AFG,1954,100.0
AFG,1955,4.81
AFG,1955,22.627
AFG,1955,20.35
AFG,1955,11.779
AFG,1955,3.826
AFG,1955,22.964
AFG,1955,13.644
AFG,1955,100.0
AFG,1956,4.717
AFG,1956,22.4
AFG,1956,20.241
AFG,1956,11.922
AFG,1956,3.867
AFG,1956,22.982
AFG,1956,13.871
AFG,1956,100.0
AFG,1957,4.627
AFG,1957,22.181
AFG,1957,20.135
AFG,1957,12.061
AFG,1957,3.907
AFG,1957,22.998
AFG,1957,14.09
AFG,1957,100.0
AFG,1958,4.54
AFG,1958,21.969
AFG,1958,20.033
AFG,1958,12.195
AFG,1958,3.946
AFG,1958,23.015
AFG,1958,14.302
AFG,1958,100.0
AFG,1959,4.456
AFG,1959,21.764
AFG,1959,19.934
AFG,1959,12.325
AFG,1959,3.983
AFG,1959,23.03
AFG,1959,14.507
AFG,1959,100.0
AFG,1960,4.375
AFG,1960,21.566
AFG,1960,19.838
AFG,1960,12.45
AFG,1960,4.02
AFG,1960,23.045
AFG,1960,14.706
AFG,1960,100.0
AFG,1961,4.268
AFG,1961,21.262
AFG,1961,19.685
AFG,1961,12.61
AFG,1961,4.063
AFG,1961,22.833
AFG,1961,15.28
AFG,1961,100.0
AFG,1962,4.166
AFG,1962,20.971
AFG,1962,19.539
AFG,1962,12.762
AFG,1962,4.104
AFG,1962,22.629
AFG,1962,15.829
AFG,1962,100.0
AFG,1963,4.069
AFG,1963,20.692
AFG,1963,19.399
AFG,1963,12.908
AFG,1963,4.144
AFG,1963,22.434
AFG,1963,16.355
AFG,1963,100.0
AFG,1964,3.975
AFG,1964,20.424
AFG,1964,19.264
AFG,1964,13.048
AFG,1964,4.182
AFG,1964,22.246
AFG,1964,16.86
AFG,1964,100.0
AFG,1965,3.885
AFG,1965,20.167
AFG,1965,19.135
AFG,1965,13.183
AFG,1965,4.218
AFG,1965,22.067
AFG,1965,17.345
AFG,1965,100.0
AFG,1966,3.778
AFG,1966,19.825
AFG,1966,18.951
AFG,1966,13.347
AFG,1966,4.261
AFG,1966,21.621
AFG,1966,18.217
AFG,1966,100.0
AFG,1967,3.676
AFG,1967,19.499
AFG,1967,18.776
AFG,1967,13.503
AFG,1967,4.301
AFG,1967,21.196
AFG,1967,19.048
AFG,1967,100.0
AFG,1968,3.579
AFG,1968,19.188
AFG,1968,18.609
AFG,1968,13.652
AFG,1968,4.34
AFG,1968,20.792
AFG,1968,19.841
AFG,1968,100.0
AFG,1969,3.486
AFG,1969,18.891
AFG,1969,18.45
AFG,1969,13.795
AFG,1969,4.377
AFG,1969,20.405
AFG,1969,20.597
AFG,1969,100.0
AFG,1970,3.397
AFG,1970,18.608
AFG,1970,18.298
AFG,1970,13.931
AFG,1970,4.412
AFG,1970,20.036
AFG,1970,21.32
AFG,1970,100.0
AFG,1971,3.296
AFG,1971,18.253
AFG,1971,18.093
AFG,1971,14.092
AFG,1971,4.452
AFG,1971,19.933
AFG,1971,21.883
AFG,1971,100.0
AFG,1972,3.199
AFG,1972,17.915
AFG,1972,17.898
AFG,1972,14.244
AFG,1972,4.489
AFG,1972,19.834
AFG,1972,22.419
AFG,1972,100.0
AFG,1973,3.108
AFG,1973,17.594
AFG,1973,17.714
AFG,1973,14.39
AFG,1973,4.525
AFG,1973,19.741
AFG,1973,22.929
AFG,1973,100.0
AFG,1974,3.02
AFG,1974,17.288
AFG,1974,17.537
AFG,1974,14.528
AFG,1974,4.56
AFG,1974,19.652
AFG,1974,23.414
AFG,1974,100.0
AFG,1975,2.937
AFG,1975,16.997
AFG,1975,17.369
AFG,1975,14.66
AFG,1975,4.592
AFG,1975,19.567
AFG,1975,23.877
AFG,1975,100.0
AFG,1976,2.924
AFG,1976,17.005
AFG,1976,17.312
AFG,1976,14.69
AFG,1976,4.652
AFG,1976,19.409
AFG,1976,24.009
AFG,1976,100.0
AFG,1977,2.911
AFG,1977,17.012
AFG,1977,17.255
AFG,1977,14.72
AFG,1977,4.71
AFG,1977,19.253
AFG,1977,24.139
AFG,1977,100.0
AFG,1978,2.897
AFG,1978,17.02
AFG,1978,17.199
AFG,1978,14.749
AFG,1978,4.768
AFG,1978,19.098
AFG,1978,24.268
AFG,1978,100.0
AFG,1979,2.884
AFG,1979,17.027
AFG,1979,17.144
AFG,1979,14.778
AFG,1979,4.825
AFG,1979,18.946
AFG,1979,24.395
AFG,1979,100.0
AFG,1980,2.872
AFG,1980,17.035
AFG,1980,17.089
AFG,1980,14.806
AFG,1980,4.882
AFG,1980,18.795
AFG,1980,24.521
AFG,1980,100.0
AFG,1981,2.974
AFG,1981,17.368
AFG,1981,17.137
AFG,1981,14.605
AFG,1981,4.765
AFG,1981,18.52
AFG,1981,24.631
AFG,1981,100.0
AFG,1982,3.082
AFG,1982,17.721
AFG,1982,17.188
AFG,1982,14.392
AFG,1982,4.642
AFG,1982,18.228
AFG,1982,24.747
AFG,1982,100.0
AFG,1983,3.197
AFG,1983,18.093
AFG,1983,17.241
AFG,1983,14.167
AFG,1983,4.512
AFG,1983,17.92
AFG,1983,24.869
AFG,1983,100.0
AFG,1984,3.318
AFG,1984,18.488
AFG,1984,17.298
AFG,1984,13.929
AFG,1984,4.374
AFG,1984,17.594
AFG,1984,24.999
AFG,1984,100.0
AFG,1985,3.447
AFG,1985,18.906
AFG,1985,17.358
AFG,1985,13.677
AFG,1985,4.228
AFG,1985,17.248
AFG,1985,25.136
AFG,1985,100.0
AFG,1986,3.408
AFG,1986,18.693
AFG,1986,17.24
AFG,1986,13.755
AFG,1986,4.278
AFG,1986,16.917
AFG,1986,25.709
AFG,1986,100.0
AFG,1987,3.37
AFG,1987,18.484
AFG,1987,17.126
AFG,1987,13.831
AFG,1987,4.326
AFG,1987,16.594
AFG,1987,26.269
AFG,1987,100.0
AFG,1988,3.332
AFG,1988,18.28
AFG,1988,17.013
AFG,1988,13.906
AFG,1988,4.374
AFG,1988,16.277
AFG,1988,26.817
AFG,1988,100.0
AFG,1989,3.296
AFG,1989,18.08
AFG,1989,16.903
AFG,1989,13.98
AFG,1989,4.42
AFG,1989,15.967
AFG,1989,27.354
AFG,1989,100.0
AFG,1990,3.26
AFG,1990,17.884
AFG,1990,16.796
AFG,1990,14.051
AFG,1990,4.466
AFG,1990,15.663
AFG,1990,27.88
AFG,1990,100.0
AFG,1991,2.977
AFG,1991,16.883
AFG,1991,16.534
AFG,1991,14.503
AFG,1991,4.617
AFG,1991,16.752
AFG,1991,27.734
AFG,1991,100.0
AFG,1992,2.735
AFG,1992,16.025
AFG,1992,16.31
AFG,1992,14.89
AFG,1992,4.747
AFG,1992,17.685
AFG,1992,27.609
AFG,1992,100.0
AFG,1993,2.524
AFG,1993,15.281
AFG,1993,16.116
AFG,1993,15.226
AFG,1993,4.859
AFG,1993,18.493
AFG,1993,27.5
AFG,1993,100.0
AFG,1994,2.341
AFG,1994,14.63
AFG,1994,15.946
AFG,1994,15.52
AFG,1994,4.957
AFG,1994,19.201
AFG,1994,27.405
AFG,1994,100.0
AFG,1995,2.178
AFG,1995,14.056
AFG,1995,15.796
AFG,1995,15.779
AFG,1995,5.044
AFG,1995,19.825
AFG,1995,27.322
AFG,1995,100.0
AFG,1996,2.088
AFG,1996,13.61
AFG,1996,15.426
AFG,1996,16.02
AFG,1996,5.072
AFG,1996,20.115
AFG,1996,27.669
AFG,1996,100.0
AFG,1997,2.003
AFG,1997,13.194
AFG,1997,15.081
AFG,1997,16.245
AFG,1997,5.098
AFG,1997,20.386
AFG,1997,27.992
AFG,1997,100.0
AFG,1998,1.924
AFG,1998,12.805
AFG,1998,14.758
AFG,1998,16.456
AFG,1998,5.122
AFG,1998,20.639
AFG,1998,28.295
AFG,1998,100.0
AFG,1999,1.85
AFG,1999,12.441
AFG,1999,14.456
AFG,1999,16.653
AFG,1999,5.145
