ISO3,Gini_Index,Wealth_Top10_Share,Corruption_Control,Poverty_Rate,Child_Poverty_Rate,House_Price_to_Income,Household_Debt_to_Income,Unemployment_Rate,Edu_Pub_Exp_GDP,Health_OOP_Perc,Suicide_Rate,Family_Trust_Raw,Family_Importance_Raw,One_Person_HH_Perc,Infant_Mortality_Rate,Homicide_Rate
ETH,31.1,59.14928571428574,-0.4423073194921015,38.6,,,,3.544375,3.41722293956353,39.819696427500006,,,1.0776556776556776,6.7925,36.837500000000006,
EUU,,,,,,,,6.307052395661335,4.758567392826079,14.338478829971695,,,,,3.186062518590689,
FCS,,,,40.9875,,,,5.681411597467819,2.6433021504875382,51.9538099157541,,,,,47.36155734501915,13.4375
FIN,27.525,55.45928571428572,2.223509609699246,0.125,9.4,98.4585608775326,130.81285714285713,7.17725,6.505390048027038,16.3313994425,11.7705205,,1.1817264008076729,41.01,1.8,1.1801427178050188
FJI,,60.25357142857143,0.4824548140168191,,,,,4.44125,4.4402329771777564,12.09936463625,,,,4.28,23.375,2.593891155745667
FRA,31.475,58.73357142857143,1.2078394889831523,0.1,17.7,104.28140388807512,110.18857142857142,7.479875,5.431217432022095,8.8911597725,10.26945875,,1.1641641641641642,28.45090909090909,3.3875,1.2473029746833664
FRO,,,,,,,,,,,,,,,,
FSM,,60.25285714285714,0.6924761608242986,,,,,,11.5591397849462,2.747972785,,,,,21.4125,
GAB,,59.01428571428573,-0.987871065735815,,,,,20.54975,2.4723472868607925,19.682147980000003,,,,20.855,27.125,
GBR,32.5,56.751428571428576,1.558085471391675,0.5,23.4,104.8116326288838,125.03857142857144,4.08675,5.673089981079105,13.2125390775,7.76184585,,1.1021697335896732,30.05,3.95,1.032231714165
GEO,34.3625,62.97214285714288,0.6217739284038543,7.675000000000001,,,,11.620375,3.7188264880578528,37.03947401,4.74362305,,1.0371944739638683,15.8675,8.075,
GGY,,57.19428571428572,,,,,,,,,,,,,,
GHA,,60.71,-0.0975116435438394,,,,,3.139625,3.1572352036896225,25.07827759,,,1.0645056726094004,19.693846153846152,29.1,1.8142580464564373
GIB,,57.19642857142857,,,,,,,,,,,,,,
GIN,,58.09857142857142,-0.9410592392086984,,,,,5.419375,1.9252611831223136,55.38769436,,,,5.1,62.85,
GLP,,,,,,,,,,,,,,34.52,,
GMB,38.8,60.53071428571428,-0.310165662318468,22.0,,,,6.278625,2.86862797464543,19.552380555,,,,9.192,34.775,
GNB,33.4,58.73714285714284,-1.2209863811731352,39.9,,,,2.731625,,61.4503765125,,,,1.9725,44.212500000000006,
GNQ,38.5,62.61785714285713,-1.5765436887741089,8.8,,,,8.516875,,73.323085785,,,,14.14,50.6375,
GRC,33.3625,58.08928571428572,0.0851932130753994,0.675,19.7,106.7098225913027,70.22166666666665,12.458875,3.37547993659973,33.4604406375,3.4061381500000003,,1.0708333333333333,19.6525,3.2625,0.8969980028791038
GRD,,61.73857142857144,0.5066764354705808,,,,,,4.666777554044659,52.944146155,4.33588065,,,,16.825,10.583367636794945
GRL,,60.24785714285715,1.022891372442245,,,,,,,,,,,,,
GTM,45.2,63.59928571428573,-1.1541873961687064,9.7,,,,2.575875,3.153466224670411,58.50970173,3.4062826,,1.0834454912516824,4.42,18.3875,21.998992968450622
GUF,,,,,,,,,,,,,,22.61,,
GUM,,,1.261388778686524,,,,,5.5748750000000005,,,,,,,,
GUY,,63.594285714285725,-0.3108161091804504,,,,,12.752125,,24.361762045,25.265173,,,12.095,24.4875,17.984435307595838
HIC,,,,0.5375,,,,4.79786440752751,4.744873642921446,12.915076403539068,,,,,4.1625,3.0
HKG,,63.9142857142857,1.6273323148488976,,,,,3.92675,3.88454133272171,,,,1.2889249304911956,17.286666666666665,,0.3636861142562437
HND,46.8,63.60000000000001,-1.066491641104224,17.0,,,,7.6645,4.89296217592011,50.96390629,,,,6.188333333333333,13.6625,33.7013804009002
HPC,,,,,,,,4.484334883128572,3.2366318369977147,38.668165390201935,,,,,42.79501304983465,
HRV,29.85,56.462857142857146,0.1547470595687626,0.3375,,100.99301108288198,,6.672375,4.250104904174805,9.5565106875,9.806135,,1.1725293132328307,22.675,3.9125,0.7635956475829057
HTI,,63.59857142857143,-1.4352834820747362,,,,,14.79,1.0335845653505908,46.8046712875,,,1.3050932929904189,8.911428571428571,41.3125,28.517859306138888
HUN,,63.90642857142858,-0.015950870787492,,13.0,109.14343930982272,32.464285714285715,3.992625,4.115702509880065,26.67786741,11.637250625,,1.1678743961352658,24.406666666666663,3.2375,0.803130802736137
IBD,,,,,,,,5.646681885644658,3.76359202632677,32.304758935706445,,,,,17.684611088248033,4.75
IBT,,,,,,,,5.475717157214135,3.562409517785305,33.28362869391738,,,,,29.74156280943988,
IDA,,,,35.225,,,,4.929417476445012,3.197771551844921,51.189894850052255,,,,,43.43378778778848,8.4875
IDB,,,,,,,,4.870214680288814,3.20976687147964,55.74602231865019,,,,,50.81322572030467,
IDN,35.775000000000006,58.50571428571429,-0.4653713442385198,7.625,,,,3.52975,1.1095899936300757,31.07234192,,,1.020638503708481,5.66,17.45,0.303768746039586
IDX,,,,,,,,4.964570635949206,3.1847316871174627,47.81405891496543,,,,,39.52762696970297,7.887499999999999
IMN,,57.19500000000001,,,,,,,,,,,,30.07,,
IND,25.5,63.65142857142858,-0.3399063833057881,5.3,40.0,,,5.071375,4.280041603870075,46.6458072675,,1.0886482150020056,1.1078864353312303,5.700833333333333,25.525,2.8720995273620225
INX,,,,,,,,,,,,,,,,
IRL,29.3,68.44428571428571,1.6005623340606712,0.1375,13.6,104.98621124681176,82.27999999999999,4.767625000000001,3.04813492298126,10.7414412525,8.12408465,,,20.283125,3.3125,0.6748582479876197
IRN,35.5625,62.18071428571428,-1.176017358899115,2.9875,,,,9.162875,2.8346631186911573,37.4920492175,,,1.0704667863554758,6.210000000000001,10.9875,
IRQ,29.8,60.19642857142857,-1.289236918091775,0.5,,,,15.595125,,50.059668542500006,,,1.042082546533585,1.178,21.4125,
ISL,,60.03928571428572,1.595901086926459,,,105.67315346319552,,4.144625,7.842847347259521,14.2835234375,9.33359275,,,,1.95,1.145544786287049
ISR,37.85,62.576428571428586,0.7806942611932752,0.7,22.2,95.083264225755,,3.844375,6.1355173587799055,20.4799251575,4.0670748,,,18.288,2.725,1.7141236826457624
ITA,34.325,56.955714285714286,0.5353207364678381,0.8500000000000001,20.5,101.44837973329544,72.80142857142856,8.163375,4.182219862937927,22.74292469,4.519402400000001,,1.0733399405351831,28.058333333333334,2.375,0.5419325195039884
JAM,39.9,63.59714285714286,-0.074236114975065,1.4,,,,4.681875,5.54234326403205,12.5011701625,,,,22.71,18.2375,50.378071610565485
JEY,,57.19500000000001,,,,,,,,,,,,,,
JOR,,62.3107142857143,0.0707905243616551,,,,,18.41575,3.382107216678748,38.8534593575,,,1.037098445595855,4.81375,12.525,1.0267775300862445
JPN,32.3,58.724285714285706,1.4577470868825888,1.2,14.0,102.31558038470992,116.575,2.654625,3.3209649324417096,11.345849275,14.165751749999998,1.332994923857868,1.1051413255360625,30.995,1.8,0.2321952186555113
KAZ,28.95,59.28785714285716,-0.2594819664955142,0.0,,,,4.93,4.619370706397152,28.63072157,9.204862375,,1.0763688760806915,13.938333333333333,7.7125,2.7645522969186374
KEN,37.575,60.820714285714295,-0.7765907272696493,46.15,,,,5.62425,4.3509198950300405,23.6062879575,,,1.037124802527646,15.443846153846154,35.4625,4.639300955193789
KGZ,27.425,58.18071428571429,-1.2025801241397849,4.35,,,,4.097,6.568164344364417,40.4188089375,5.4944403125,,1.0769641902725815,8.325,15.0875,1.74734308054439
KHM,,59.83357142857143,-1.2687634080648438,,,,,0.24125,2.106186261921385,59.85307121,,,,2.82125,20.9875,
KIR,,60.25571428571429,0.3586561232805251,,,,,,15.668963733326471,0.73210886,,,,3.71,40.4,
KNA,,64.36714285714285,0.3975964821875095,,,,,,3.374305804740493,41.9063959125,,,,,14.65,44.3767511780426
KOR,32.8,66.23,0.8130810931324959,0.1,12.3,99.9047941833647,,2.998,5.3242324590683,29.88048386625,19.39969375,1.1996792301523658,1.0976008724100328,25.7075,2.3625,0.4960367403438106
KS,,56.830000000000005,,,,,,,,,,,,,,
KWT,,60.675,0.116693246178329,,,,,2.426875,5.909671342263546,10.16432309,1.4065798,,1.075135553834237,,7.6125,0.249991818449578
LAC,,,,,,,,7.1914187199092,3.951388706839902,28.858819595528324,,,,,13.613687536919112,
LAO,,59.98285714285715,-0.9956467598676676,,,,,1.449625,1.4540174654893687,32.283761025,,,,1.711666666666667,36.2875,
LBN,35.3,67.03857142857143,-1.198863446712496,5.9,,,,11.915625,1.5878716510053228,32.9683733,0.3140838833333333,,1.1914712153518123,,15.25,2.24466989542556
LBR,,58.57857142857142,-0.9058209210634234,,,,,3.205,2.2722385770440576,62.5686388025,,,,9.756666666666666,53.8,
LBY,,59.66571428571429,-1.5401499569416035,,,,,19.10375,,27.10149622,,,1.0313064419024685,,12.2625,
LCA,,61.73214285714287,0.5541467666625977,,,,,15.24675,3.716290996148458,37.583504675,3.3088608,,,26.79,14.425,37.29912350092998
LCN,,,,5.0375,,,,7.254016020724016,3.9193167705725305,29.0767336094346,,,,,13.75,19.9375
LDC,,,,,,,,5.169341836233429,3.0906492534166587,49.0219627436352,,,,,40.92110778699269,7.925000000000001
LIC,,,,56.0125,,,,5.553032638193212,3.190774545240806,44.713830557361504,,,,,44.3,10.5875
LIE,,59.33214285714287,1.7369246184825875,,,,,,,,,,,34.650000000000006,,3.8509697423488847
LKA,,60.70285714285715,-0.3736742995679378,,,,,5.423625,1.597919619247164,41.7995986925,,,,,5.5,
LMC,,,,13.35,,,,5.008091821827332,3.3827018204816186,47.6325860465057,,,,,33.45,4.5
LMY,,,,12.5375,,,,5.529593378499307,3.564283508477919,34.27218873535762,,,,,29.939577023506303,
LSO,,61.617857142857154,-0.4076868444681167,,,,,16.979125,7.29011355590957,13.98506641,,,,15.734285714285717,57.225,
LTE,,,,,,,,5.125202677391571,4.187744953716623,30.24614502256255,,,,,7.703853221518811,
LTU,36.2375,57.32928571428572,0.7779079079627991,0.8500000000000001,17.2,102.35715758530634,,6.859125000000001,4.304740071296693,31.19679546375,14.7230185625,,1.2912912912912913,29.655,2.8875,2.6821595227942314
LUX,33.587500000000006,61.17142857142858,1.917305782437324,0.0875,,111.3408468071973,,5.281124999999999,3.74634253978729,8.669737575,5.3646076375,,,31.055,2.025,1.0404485752747463
LVA,34.175,62.77357142857143,0.6992240026593208,0.425,16.3,107.153992918077,,6.887625,4.600857496261595,30.0842561725,10.410770374999998,,1.398829431438127,31.64,2.6875,2.9769834793604537
MAC,,58.41928571428572,0.8396617993712426,,,,,2.337375,4.702239990234372,,,,1.1508325171400589,15.175,,0.4417365072794998
MAF,,,,,,,,,,,,,,29.33,,
MAR,,60.76214285714288,-0.4686616882681846,,,,,9.620375,5.979423410321644,42.39318371,,,1.0870821295914157,6.001666666666666,15.9875,1.8751990222434247
MCO,,60.85214285714285,1.261388778686524,,,,,,1.5271914005279557,6.997081755,,,,37.69,2.3375,
MDA,26.2125,56.99357142857144,-0.357790969312191,0.075,,,,1.248125,6.393535077571871,30.94064665,11.391795125000002,,1.195573174760489,21.012,13.5625,2.5399605075300173
MDG,36.8,61.97857142857143,-0.9880306050181374,69.2,,,,3.177375,3.097347650001906,32.05561066,,,,6.244285714285715,44.475,
MDV,,58.2792857142857,-0.3566903956234456,,,,,4.5325,5.059568337710061,16.72824168,0.8181294,,1.0490856592877766,5.223333333333334,5.275,
MEA,,,,,,,,8.424286751225326,4.19555330276489,27.320787445610343,,,,,18.125,3.8125
MEX,43.86666666666667,71.8757142857143,-1.0060946419835084,2.9666666666666663,38.0,,25.65,3.253875,4.217404961585997,39.57784748,6.08134975,1.2402640264026403,1.0982043218017652,7.042222222222223,11.0875,26.020935180605388
MHL,,60.25928571428573,0.412920497357845,,,,,,11.104809682030917,1.2242186075,,,,,24.175,
MIC,,,,,,,,5.527845514596882,3.582783927524231,34.15070742264914,,,,,26.447199491643072,
MKD,,56.61357142857144,-0.3640207462012768,,,,,14.253,,40.2607574475,4.210326824999999,,1.0234948604992655,7.396666666666666,3.5,1.176797448097615
MLI,35.7,58.74642857142858,-0.8529519885778427,36.1,,,,3.0115,4.143377268942469,43.84060097,,,1.0853174603174602,4.997777777777777,58.875,
MLT,33.05,50.01642857142856,0.1939877495169637,0.175,,,,3.252875,4.790123303731283,30.0045895575,4.781745675,,,18.3875,4.9375,0.8766265876714459
MMR,,60.20571428571427,-1.1121195927262295,,,,,3.00725,,64.236883165,,,1.143333333333333,3.88,35.1,6.21573647819271
MNA,,,,,,,,9.191893784042154,,46.18694861283139,,,,,34.98070462298239,
MNE,34.849999999999994,57.33071428571429,-0.0803204635158182,2.35,,,,15.325875,,37.02841568,,,1.0869899923017703,15.1775,2.2,1.7259927888263782
MNG,31.4,58.70285714285715,-0.5176638253033159,0.4,,,,6.096875000000001,3.65764999389648,38.119459155,15.71741925,,1.2796092796092795,6.111666666666667,11.6,5.998668895541181
MNP,,,,,,,,,,,,,,,,
MOZ,49.6,70.82857142857144,-0.825638025999069,81.4,,,,3.65525,6.115844561430308,9.726227765,,,,9.0525,46.425,
MRT,,58.12357142857143,-0.8162370771169662,,,,,10.6305,3.1668524891138072,47.8301658625,,,,3.9533333333333336,31.8375,0.999971522550119
MSR,,61.74071428571429,,,,,,,,,,,,,,
MTQ,,,,,,,,,,,,,,35.51,,
MUS,,60.31785714285714,0.442118555307388,,,,,6.409125,4.6220286488533,43.00616169,9.64010725,,,8.105,13.7125,2.482383010367762
MWI,,64.94928571428572,-0.5429562740027902,,,,,5.1995000000000005,2.74888371105811,12.470803025,,,,7.938333333333333,30.2875,
MYS,40.7,61.54785714285713,0.2568976953625681,0.0,,,,4.0645,3.653841243970152,35.5174646375,0.07090257,,1.0351337178814892,7.884,6.75,0.7220994865824519
MYT,,,,,,,,,,,,,,14.33,,
NAC,,,,0.8375,,,,4.606465341563465,4.996641218662262,10.964317506131223,,,,,5.4,5.75
NAM,,71.78214285714287,0.1699314620345832,,,,,19.847,9.613335174467847,7.8804982875,,,,12.49,39.712500000000006,11.1558596177155
NCL,,60.25214285714286,,,,,,11.28425,,,,,,17.45,,
NER,32.9,59.29357142857143,-0.5835417434573175,60.5,,,,0.48875,3.920246394399432,41.6895322825,,,,3.836,68.075,
NGA,33.9,58.92571428571429,-1.08038213849068,41.8,,,,3.89125,0.3393582945666789,75.79462623750001,,1.3366834170854272,1.0240918736736986,13.328125,61.4375,15.7466808233499
NIC,,63.59571428571428,-1.3205765783786774,,,,,5.1381250000000005,3.466338093656864,33.600303170000004,6.51094075,,1.2291666666666667,4.08,10.6625,11.3473196321723
NIR,,,,,,,,,,,,,1.0715883668903805,,,
NLD,25.85,48.138571428571424,1.913378432393075,0.05,11.5,114.1902652715398,198.81857142857143,3.653625,5.256595015525818,9.6737892625,8.57502775,,1.237020766773163,33.545,3.5,0.7197060825912013
NOR,27.1625,50.804285714285726,2.095430344343184,0.2375,7.8,105.44661497894543,,3.691625,6.561190009117125,13.947761775,,,1.1241283124128312,38.64,1.9,0.6388816307668712
NPL,30.0,58.66142857142857,-0.531554862856865,2.4,,,,11.170125,4.096264326369012,54.253195765,,,,4.549090909090909,24.1,2.13004129984372
NRU,,60.25142857142857,0.595277763903141,,,,,,5.700460975574906,0.58180186,,,,,8.825000000000001,
NZL,,57.36285714285715,2.118689447641371,,14.5,103.99305900654204,,3.735125,5.344196379184725,11.58411121,,,1.0825803212851406,22.656666666666663,4.075,1.2759425300122476
OECD,,,,,,105.17797004275477,,,,,,,,,,
OED,,,,,,,,5.327398970098371,5.100217521190645,12.868771432182823,,,,,5.769429574103224,
OMN,,68.07928571428573,0.1539345248602328,,,,,3.018,5.160056591033933,6.5738872275,0.07442001,,,10.62,8.475000000000001,0.2019869999248147
OSS,,,,,,,,8.83197924107174,5.059170745971018,21.526487983998784,,,,,25.726889509218044,
PAK,,58.58785714285714,-0.9092563018202778,,,,,5.633375000000001,1.9346228529958824,50.161174775,,,1.1006246834374471,3.882,51.5625,4.104288352183664
PAN,49.3,63.605,-0.619737960398197,3.62,,,,8.3985,3.082688778638837,37.7990055075,2.6815594333333337,,,12.722857142857142,11.05,11.726276861143836
